176,"120.537564,31.889073,0"
177,"120.538318,31.889216,0"
178,"120.537766,31.889484,0"
179,"120.537823,31.889755,0"
180,"120.537903,31.890149,0"
181,"120.535495,31.890672,0"
182,"120.536550,31.890675,0"
183,"120.537244,31.890567,0"
184,"120.537475,31.891388,0"
185,"120.538477,31.890848,0"
186,"120.538708,31.891354,0"
187,"120.539026,31.888029,0"
188,"120.539887,31.887653,0"
189,"120.543320,31.886982,0"
190,"120.543696,31.888281,0"
191,"120.543847,31.888842,0"
192,"120.544008,31.889376,0"
193,"120.543836,31.889776,0"
194,"120.542254,31.888488,0"
195,"120.541280,31.888695,0"
196,"120.542523,31.889349,0"
197,"120.541350,31.889529,0"
198,"120.540581,31.889618,0"
199,"120.539375,31.889315,0"
200,"120.539747,31.890268,0"
201,"120.536178,31.893475,0"
202,"120.536873,31.893258,0"
203,"120.537443,31.893178,0"
204,"120.538869,31.892717,0"
205,"120.536636,31.894880,0"
206,"120.537556,31.895078,0"
207,"120.537346,31.894389,0"
208,"120.538116,31.894514,0"
209,"120.538616,31.893964,0"
210,"120.539429,31.894531,0"
211,"120.542044,31.893508,0"
212,"120.541597,31.892354,0"
213,"120.543061,31.891660,0"
214,"120.544482,31.891272,0"
215,"120.544842,31.891145,0"
216,"120.545800,31.891370,0"
217,"120.546505,31.890834,0"
218,"120.547489,31.890458,0"
219,"120.548527,31.891613,0"
220,"120.543147,31.893132,0"
221,"120.539240,31.896084,0"
222,"120.540015,31.895849,0"
223,"120.542135,31.895521,0"
224,"120.542840,31.895423,0"
225,"120.543034,31.896002,0"
226,"120.544363,31.894793,0"
227,"120.544928,31.893259,0"
228,"120.545213,31.894162,0"
229,"120.545832,31.894131,0"
230,"120.546542,31.894064,0"
231,"120.546779,31.894894,0"
232,"120.546176,31.896328,0"
233,"120.542517,31.897859,0"
234,"120.541559,31.898030,0"
235,"120.538529,31.900788,0"
236,"120.539735,31.900422,0"
237,"120.539407,31.901751,0"
238,"120.539719,31.903356,0"
239,"120.541683,31.901037,0"
240,"120.541226,31.899815,0"
241,"120.541452,31.900257,0"
242,"120.543211,31.900690,0"
243,"120.542770,31.899545,0"
244,"120.543808,31.900258,0"
245,"120.544179,31.900938,0"
246,"120.544336,31.899494,0"
247,"120.544007,31.898837,0"
248,"120.545299,31.899929,0"
249,"120.544589,31.898616,0"
250,"120.545202,31.898339,0"
251,"120.546488,31.899654,0"
252,"120.546197,31.899002,0"
253,"120.545794,31.898122,0"
254,"120.547090,31.899619,0"
255,"120.546735,31.898807,0"
256,"120.546429,31.898114,0"
257,"120.547720,31.899442,0"
258,"120.547349,31.898694,0"
259,"120.547101,31.897997,0"
260,"120.548962,31.899541,0"
261,"120.549038,31.898555,0"
262,"120.548443,31.899157,0"
263,"120.548809,31.899057,0"
264,"120.549605,31.899230,0"
265,"120.548279,31.902188,0"
266,"120.549059,31.902053,0"
267,"120.540768,31.907143,0"
268,"120.541338,31.907044,0"
269,"120.542107,31.906509,0"
270,"120.542350,31.907033,0"
271,"120.545064,31.905468,0"
272,"120.545153,31.906017,0"
273,"120.545979,31.905602,0"
274,"120.546151,31.906017,0"
275,"120.547031,31.905759,0"
276,"120.547461,31.905657,0"
277,"120.547746,31.904834,0"
278,"120.548599,31.905136,0"
279,"120.548203,31.905948,0"
280,"120.548744,31.905835,0"
281,"120.549188,31.905722,0"
282,"120.549744,31.905605,0"
283,"120.550498,31.904798,0"
284,"120.550586,31.905365,0"
285,"120.551216,31.905093,0"
286,"120.551794,31.904958,0"
